TurbID,DATATIME,WINDSPEED,PREPOWER,WINDDIRECTION,TEMPERATURE,HUMIDITY,PRESSURE,"ROUND(A.WS,1)","ROUND(A.POWER,0)",YD15
1,2020/1/22 0:00,4.8,7645,344,3.2,92,1007,3.5,,
1,2020/1/22 0:15,5,8374,348,3.1,92,1007,3.6,,
1,2020/1/22 0:30,5.2,9566,352,3,92,1007,3.4,,
1,2020/1/22 0:45,5.5,10758,356,2.9,92,1007,3.9,,
1,2020/1/22 1:00,5.8,11950,359,2.8,92,1007,4.2,,
1,2020/1/22 1:15,5.9,12746,0,2.7,92,1007,3.9,,
1,2020/1/22 1:30,5.8,13146,2,2.5,93,1007,3.6,,
1,2020/1/22 1:45,5.8,13547,5,2.2,93,1007,3.6,,
1,2020/1/22 2:00,5.7,13947,7,2,94,1007,3.8,,
1,2020/1/22 2:15,5.7,14060,10,1.8,94,1007,3.8,,
1,2020/1/22 2:30,5.6,13887,14,1.6,95,1007,4.2,,
1,2020/1/22 2:45,5.4,13714,17,1.4,95,1007,4.5,,
1,2020/1/22 3:00,5.3,13541,21,1.2,96,1007,4.7,,
1,2020/1/22 3:15,5.3,13547,26,1.1,96,1007,5,,
1,2020/1/22 3:30,5.2,13734,30,1,97,1007,5.2,,
1,2020/1/22 3:45,5.1,13920,35,0.9,97,1006,5,,
1,2020/1/22 4:00,5,14107,39,0.8,98,1006,5,,
1,2020/1/22 4:15,5,14298,43,0.7,98,1006,4.9,,
1,2020/1/22 4:30,4.9,14494,45,0.7,98,1006,5.2,,
1,2020/1/22 4:45,5,14691,47,0.7,99,1006,4.7,,
1,2020/1/22 5:00,5,14887,48,0.7,99,1006,4.5,,
1,2020/1/22 5:15,4.9,15374,49,0.7,99,1006,4.5,,
1,2020/1/22 5:30,4.9,16151,51,0.8,99,1006,4.5,,
1,2020/1/22 5:45,4.9,16929,52,0.8,99,1007,4.5,,
1,2020/1/22 6:00,4.9,17706,54,0.9,99,1007,4.6,,
1,2020/1/22 6:15,4.9,18185,55,0.9,99,1007,4.7,,
1,2020/1/22 6:30,4.8,18365,54,1,99,1007,4.3,,
1,2020/1/22 6:45,4.8,18545,54,1,99,1008,3.6,,
1,2020/1/22 7:00,4.7,18725,54,1.1,99,1008,3.8,,
1,2020/1/22 7:15,4.8,18989,53,1.2,99,1008,3.8,,
1,2020/1/22 7:30,4.8,19338,50,1.3,98,1008,4.3,,
1,2020/1/22 7:45,4.8,19686,48,1.4,97,1008,4,,
1,2020/1/22 8:00,4.9,20035,46,1.5,96,1008,4,,
1,2020/1/22 8:15,4.8,19740,43,1.6,95,1008,3.6,,
1,2020/1/22 8:30,4.7,18803,43,1.9,93,1008,3.9,,
1,2020/1/22 8:45,4.5,17865,42,2.2,92,1009,4.4,,
1,2020/1/22 9:00,4.3,16928,42,2.5,90,1009,4.2,,
1,2020/1/22 9:15,4.2,16119,42,2.8,88,1009,4.2,,
1,2020/1/22 9:30,4.2,15440,44,3.2,86,1009,4.1,,
1,2020/1/22 9:45,4.2,14761,46,3.6,84,1009,4.1,,
1,2020/1/22 10:00,4.2,14082,48,4,82,1009,3.6,,
1,2020/1/22 10:15,4,13497,50,4.4,80,1009,4,,
1,2020/1/22 10:30,3.9,13006,54,4.8,78,1009,3.8,,
1,2020/1/22 10:45,3.8,12515,58,5.1,75,1009,4.1,,
1,2020/1/22 11:00,3.7,12024,63,5.5,73,1009,4,,
1,2020/1/22 11:15,3.6,11562,66,5.8,71,1009,3.7,,
1,2020/1/22 11:30,3.7,11129,66,6,70,1009,4,,
1,2020/1/22 11:45,3.7,10696,66,6.3,69,1008,3.7,,
1,2020/1/22 12:00,3.8,10263,67,6.5,68,1008,3.9,,
1,2020/1/22 12:15,3.8,9729,67,6.7,66,1008,3.9,,
1,2020/1/22 12:30,3.8,9094,67,6.9,65,1008,4,,
1,2020/1/22 12:45,3.8,8459,68,7.1,64,1008,4,,
1,2020/1/22 13:00,3.8,7824,68,7.3,63,1008,3.9,,
1,2020/1/22 13:15,3.7,7419,70,7.4,62,1008,4.1,,
1,2020/1/22 13:30,3.8,7245,72,7.5,62,1008,4,,
1,2020/1/22 13:45,3.9,7072,73,7.5,61,1007,4.1,,
1,2020/1/22 14:00,3.9,6898,75,7.6,61,1007,3.9,,
1,2020/1/22 14:15,4,7023,77,7.5,61,1007,3.7,,
1,2020/1/22 14:30,4.1,7446,79,7.3,62,1007,3.6,,
1,2020/1/22 14:45,4.2,7869,79,7.1,62,1007,3.5,,
1,2020/1/22 15:00,4.3,8292,81,6.9,63,1007,3.7,,
1,2020/1/22 15:15,4.3,8800,82,6.6,64,1007,3.3,,
1,2020/1/22 15:30,4.4,9392,84,6.3,66,1007,3.2,,
1,2020/1/22 15:45,4.5,9984,85,5.9,67,1007,3.4,,
1,2020/1/22 16:00,4.6,10576,86,5.6,69,1007,3.4,,
1,2020/1/22 16:15,4.8,11125,88,5.2,71,1007,3.4,,
1,2020/1/22 16:30,4.9,11632,89,4.8,73,1007,3.4,,
1,2020/1/22 16:45,5,12138,90,4.3,75,1008,3.7,,
1,2020/1/22 17:00,5.1,12645,90,3.9,77,1008,3.2,,
1,2020/1/22 17:15,5.3,13338,90,3.6,79,1008,3.4,,
1,2020/1/22 17:30,5.5,14218,91,3.3,80,1008,4,,
1,2020/1/22 17:45,5.6,15099,91,3,82,1008,3.7,,
1,2020/1/22 18:00,5.8,15979,92,2.7,83,1008,3.9,,
1,2020/1/22 18:15,5.9,16480,91,2.4,85,1008,4.1,,
1,2020/1/22 18:30,5.9,16601,90,2.2,86,1008,4.4,,
1,2020/1/22 18:45,6,16722,90,2,87,1008,4.4,,
1,2020/1/22 19:00,6,16843,89,1.8,88,1008,4.4,,
1,2020/1/22 19:15,6,16861,87,1.7,89,1008,4.5,,
